SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING
615600,222500
615600,222500
615600,222500
615600,222500
613200,224700
613200,224700
613200,224700
613200,224700
613200,224700
613200,224700
613200,224700
613200,224700
613200,224700
613200,224700
611800,227100
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
613300,234400
611400,235400
611400,235400
611400,235400
611400,235400
611400,235400
611400,235400
611400,235400
611400,235400
611400,235400
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
605900,232800
602200,232400
602200,232400
602200,232400
602200,232400
592000,249800
592000,249800
592000,249800
592000,249800
592000,249800
592000,249800
592000,249800
592000,249800
592035,249897
592035,249897
592035,249897
592035,249897
592000,249100
592000,249100
592000,249100
592000,249100
592300,248500
592300,248500
592300,248500
592300,248500
592300,248500
592300,248500
592300,248500
592300,248500
592300,248500
592300,248500
593300,248200
593300,248200
593300,248200
593300,248200
593300,248200
593300,248200
595100,240500
595100,240500
595100,240500
595100,240500
595100,240500
595100,240500
595089,240584
595089,240584
595089,240584
593700,242000
593700,242000
593700,242000
593700,242000
593700,242000
593700,242000
593700,242000
592700,243400
592700,243400
592700,243400
592700,243400
592700,243400
592700,243400
592700,243400
592700,243400
603900,239900
603900,239900
603900,239900
603900,239900
603955,239946
603955,239946
603955,239946
599200,248800
599200,248800
599200,248800
599200,248800
599200,248800
599200,248800
599200,248800
599200,248800
599256,248963
599256,248963
599256,248963
599000,249500
599000,249500
599011,249612
596500,248900
596500,248900
596500,248900
596500,248900
596500,248900
596500,248900
596500,248900
596500,248900
596504,249049
596504,249049
596504,249049
596504,249049
595900,249700
595900,249700
595900,249700
595900,249700
595900,249700
595900,249700
595900,249700
595900,249700
595956,249744
595956,249744
595956,249744
594700,251500
594700,251500
583100,240500
583100,240500
583100,240500
583100,240500
583073,240491
583073,240491
583073,240491
580900,239400
580900,239400
580900,239400
580900,239400
581050,239331
581050,239331
587900,249000
587900,249000
587900,249000
587900,249000
587900,249000
587900,249000
587900,249000
587900,249000
587400,249700
587400,249700
587400,249700
587400,249700
587400,249700
587400,249700
587400,249700
587381,249831
587381,249831
587381,249831
587381,249831
586200,250900
586200,250900
586200,250900
586200,250900
585800,251400
585800,251400
585800,251400
579400,252100
579400,252100
579400,252100
579400,252100
579400,252100
579400,252100
579400,252100
579400,252100
579400,252100
578500,252100
578500,252100
578500,252100
578500,252100
578500,252100
578500,252100
578500,252100
578500,252100
578500,252100
578289,252199
578289,252199
578289,252199
576200,252800
576200,252800
576200,252800
576200,252800
576200,252800
576200,252800
576200,252800
576200,252800
576200,252800
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
580200,252400
578800,253000
578800,253000
578800,253000
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
577200,245400
575800,246900
575800,246900
575800,246900
575800,246900
575800,246900
575800,246900
575800,246900
575800,246900
575800,246900
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
570200,242400
567500,240900
567500,240900
567500,240900
567500,240900
567500,240900
567500,240900
567500,240900
567500,240900
566200,239900
566200,239900
566200,239900
588500,237000
588500,237000
588500,237000
